vacuna,fecha,cantidad
AstraZeneca,2020-12-31,0
AstraZeneca,2021-01-31,8
AstraZeneca,2021-02-28,29
AstraZeneca,2021-03-31,15353
AstraZeneca,2021-04-30,957218
AstraZeneca,2021-05-31,651504
AstraZeneca,2021-06-30,5582798
AstraZeneca,2021-07-31,2710893
COVISHIELD,2020-12-31,1
COVISHIELD,2021-01-31,65
COVISHIELD,2021-02-28,261890
COVISHIELD,2021-03-31,321806
COVISHIELD,2021-04-30,39883
COVISHIELD,2021-05-31,28084
COVISHIELD,2021-06-30,0
COVISHIELD,2021-07-31,0
Sinopharm,2020-12-31,0
Sinopharm,2021-01-31,20
Sinopharm,2021-02-28,115
Sinopharm,2021-03-31,817300
Sinopharm,2021-04-30,1167523
Sinopharm,2021-05-31,1607504
Sinopharm,2021-06-30,985837
Sinopharm,2021-07-31,3808253
Sputnik,2020-12-31,43300
Sputnik,2021-01-31,344934
Sputnik,2021-02-28,615693
Sputnik,2021-03-31,1822717
Sputnik,2021-04-30,1858250
Sputnik,2021-05-31,2318060
Sputnik,2021-06-30,2077101
Sputnik,2021-07-31,2194130